"Mobiliteit; per persoon, persoonskenmerken, vervoerwijzen en regio's"
"Populatie: Populatie: 6 jaar of ouder"
"Geslacht: Totaal mannen en vrouwen"
"Marges: Waarde"
"Regio's: Nederland"
""
"Vervoerwijzen";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Lopen";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze"
"Onderwerp";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur"
"Perioden";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022";"2018";"2019";"2020";"2021";"2022"
"Persoonskenmerken";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten"
"Totaal personen";"2,78";"2,71";"2,35";"2,51";"2,70";"36,16";"36,00";"24,88";"27,24";"30,21";"74,60";"74,39";"61,96";"69,85";"72,69";"0,96";"0,95";"0,81";"0,82";"0,87";"18,16";"18,02";"13,14";"14,05";"15,13";"24,52";"24,52";"18,63";"19,99";"21,44";"0,32";"0,31";"0,24";"0,26";"0,28";"6,66";"6,65";"4,37";"5,10";"5,46";"9,28";"9,38";"6,66";"7,81";"8,12";"0,08";"0,08";"0,03";"0,03";"0,05";"3,88";"4,08";"1,60";"1,67";"2,62";"6,11";"6,39";"2,53";"2,77";"4,25";"0,08";"0,07";"0,04";"0,04";"0,06";"1,08";"1,06";"0,48";"0,54";"0,79";"3,24";"3,22";"1,50";"1,73";"2,53";"0,79";"0,76";"0,63";"0,64";"0,75";"3,16";"3,01";"2,61";"2,68";"3,04";"16,46";"16,26";"14,74";"15,18";"16,72";"0,44";"0,43";"0,52";"0,61";"0,58";"0,90";"0,88";"1,12";"1,38";"1,21";"11,23";"10,92";"15,06";"18,82";"16,25";"0,11";"0,11";"0,09";"0,10";"0,11";"2,32";"2,30";"1,55";"1,81";"1,97";"3,76";"3,70";"2,84";"3,55";"3,39"
"Leeftijd:6 tot 12 jaar";"3,16";"3,12";"2,58";"2,80";"2,88";"17,89";"17,08";"13,50";"14,99";"15,56";"60,34";"58,72";"58,51";"66,82";"60,71";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,03";"1,04";"0,78";"0,82";"0,88";"12,97";"12,30";"9,38";"10,51";"10,95";"20,63";"20,62";"16,58";"18,07";"19,13";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0,03";".";".";".";".";"0,26";".";".";".";".";"1,00";".";".";".";".";"1,27";"1,19";"0,99";"1,01";"1,09";"2,55";"2,49";"2,18";"2,35";"2,34";"19,28";"19,85";"18,76";"21,10";"19,43";"0,75";"0,79";"0,69";"0,84";"0,78";"1,00";"0,93";"1,00";"1,23";"0,99";"16,36";"14,42";"18,96";"22,05";"17,80";"0,08";"0,07";"0,10";"0,12";"0,10";"0,66";"0,79";"0,59";"0,74";"0,54";"2,39";"2,28";"3,41";"5,05";"2,88"
"Leeftijd: 12 tot 18 jaar";"2,73";"2,64";"2,11";"2,35";"2,61";"23,27";"23,59";"15,58";"17,91";"20,17";"69,02";"69,31";"53,97";"65,39";"67,06";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0,53";"0,51";"0,41";"0,47";"0,46";"9,67";"10,95";"7,12";"8,57";"8,45";"14,57";"15,46";"10,50";"13,65";"12,66";"0,07";"0,06";"0,03";"0,04";"0,06";"2,90";"2,46";"1,03";"1,20";"1,99";"5,12";"4,29";"2,05";"2,35";"3,63";"0,14";"0,13";"0,08";"0,08";"0,12";"2,13";"2,03";"1,33";"1,11";"1,59";"6,22";"6,25";"4,02";"3,68";"5,52";"1,59";"1,57";"1,20";"1,29";"1,54";"6,42";"6,22";"4,71";"5,15";"6,10";"32,90";"33,40";"26,42";"29,51";"33,01";"0,30";"0,25";"0,30";"0,38";"0,33";"0,59";"0,53";"0,61";"0,90";"0,66";"6,85";"6,90";"8,34";"12,65";"8,52";"0,08";"0,09";"0,08";"0,09";"0,11";"1,16";"1,11";"0,53";"0,79";"1,24";"2,76";"2,43";"2,09";"3,17";"3,42"
"Leeftijd: 18 tot 25 jaar";"2,74";"2,63";"2,23";"2,36";"2,56";"42,52";"41,57";"26,80";"31,46";"34,18";"84,38";"81,05";"61,92";"71,67";"77,49";"0,75";"0,75";"0,62";"0,65";"0,66";"14,63";"14,82";"10,14";"11,58";"12,08";"20,49";"20,77";"14,72";"17,00";"17,49";"0,30";"0,28";"0,27";"0,27";"0,28";"7,23";"6,51";"5,38";"6,08";"5,42";"10,17";"9,02";"8,24";"9,10";"8,59";"0,23";"0,24";"0,11";"0,13";"0,18";"11,32";"11,08";"5,31";"6,50";"8,63";"18,01";"17,91";"8,39";"10,75";"14,76";"0,21";"0,20";"0,10";"0,11";"0,16";"3,59";"3,48";"1,54";"2,01";"2,72";"9,55";"9,14";"4,25";"5,45";"7,29";"0,77";"0,74";"0,63";"0,60";"0,69";"2,99";"2,85";"2,40";"2,27";"2,52";"14,76";"13,64";"12,85";"12,06";"13,68";"0,35";"0,30";"0,41";"0,46";"0,45";"0,85";"0,82";"0,90";"1,16";"1,07";"7,78";"7,10";"10,72";"13,61";"11,92";"0,13";"0,12";"0,09";"0,14";"0,14";"1,91";"2,01";"1,13";"1,87";"1,73";"3,62";"3,47";"2,75";"3,70";"3,75"
"Leeftijd: 25 tot 35 jaar";"2,99";"2,84";"2,43";"2,57";"2,72";"46,08";"45,45";"30,00";"32,83";"36,51";"82,99";"82,41";"65,74";"72,54";"76,40";"1,26";"1,18";"1,00";"1,02";"1,06";"25,07";"24,36";"18,08";"18,48";"19,71";"32,59";"31,82";"24,60";"25,04";"27,07";"0,26";"0,24";"0,18";"0,22";"0,23";"6,52";"5,95";"3,79";"5,39";"5,85";"8,48";"7,95";"5,54";"7,43";"7,68";"0,15";"0,16";"0,06";"0,06";"0,09";"7,05";"7,41";"2,98";"2,91";"4,73";"11,30";"11,29";"4,92";"4,86";"7,25";"0,09";"0,09";"0,04";"0,05";"0,07";"1,30";"1,29";"0,56";"0,65";"0,95";"3,78";"4,00";"1,71";"2,14";"3,29";"0,65";"0,65";"0,50";"0,49";"0,58";"2,50";"2,53";"2,00";"1,97";"2,35";"11,75";"12,84";"11,61";"11,38";"12,39";"0,45";"0,42";"0,57";"0,63";"0,59";"0,96";"0,91";"1,19";"1,39";"1,18";"10,75";"10,49";"15,14";"18,41";"15,81";"0,12";"0,11";"0,07";"0,10";"0,09";"2,68";"3,01";"1,41";"2,05";"1,76";"4,34";"4,01";"2,23";"3,28";"2,92"
"Leeftijd: 35 tot 50 jaar";"3,20";"3,15";"2,77";"2,85";"3,07";"43,59";"44,10";"30,84";"30,84";"35,37";"79,45";"80,70";"66,76";"71,68";"75,66";"1,50";"1,50";"1,27";"1,23";"1,33";"27,57";"27,48";"19,94";"19,41";"22,15";"36,64";"36,24";"27,67";"27,69";"30,78";"0,21";"0,22";"0,16";"0,17";"0,18";"4,99";"5,55";"3,67";"3,89";"3,94";"6,41";"6,98";"5,02";"5,62";"5,49";"0,07";"0,08";"0,03";"0,03";"0,04";"3,09";"3,65";"1,27";"1,11";"2,21";"4,82";"5,72";"1,90";"1,87";"3,49";"0,06";"0,06";"0,03";"0,03";"0,05";"0,74";"0,78";"0,33";"0,36";"0,57";"2,40";"2,58";"1,17";"1,44";"1,97";"0,75";"0,71";"0,61";"0,60";"0,72";"2,69";"2,52";"2,22";"2,17";"2,55";"13,25";"13,48";"12,28";"12,06";"13,57";"0,47";"0,45";"0,56";"0,68";"0,63";"0,90";"0,93";"1,22";"1,48";"1,30";"10,80";"11,04";"15,34";"19,44";"16,67";"0,14";"0,14";"0,11";"0,11";"0,12";"3,61";"3,20";"2,19";"2,42";"2,65";"5,14";"4,66";"3,37";"3,56";"3,69"
"Leeftijd: 50 tot 65 jaar";"2,80";"2,76";"2,50";"2,64";"2,84";"40,62";"40,47";"29,72";"32,18";"35,18";"78,10";"78,06";"67,96";"75,12";"78,15";"1,21";"1,22";"1,04";"1,08";"1,14";"23,81";"24,12";"18,03";"19,96";"21,01";"31,44";"31,90";"24,96";"27,18";"28,63";"0,24";"0,22";"0,17";"0,17";"0,20";"6,14";"5,63";"3,78";"4,01";"4,51";"7,91";"7,81";"5,57";"5,93";"6,33";"0,06";"0,06";"0,02";"0,02";"0,03";"2,91";"2,92";"1,09";"0,99";"1,71";"4,57";"4,51";"1,62";"1,65";"2,76";"0,05";"0,05";"0,02";"0,02";"0,03";"0,70";"0,69";"0,27";"0,28";"0,43";"2,19";"2,13";"0,89";"0,89";"1,43";"0,69";"0,66";"0,57";"0,58";"0,67";"3,17";"3,07";"2,72";"2,82";"3,07";"15,46";"15,14";"14,08";"14,42";"15,71";"0,43";"0,42";"0,55";"0,64";"0,64";"0,99";"0,96";"1,31";"1,59";"1,44";"12,36";"11,86";"17,04";"20,73";"18,75";"0,12";"0,14";"0,12";"0,13";"0,14";"2,90";"3,09";"2,51";"2,51";"3,01";"4,18";"4,72";"3,80";"4,30";"4,53"
"Leeftijd: 65 tot 75 jaar";"2,38";"2,31";"2,11";"2,31";"2,53";"30,50";"29,66";"20,60";"24,23";"26,74";"73,16";"72,79";"61,80";"72,46";"75,30";"0,83";"0,81";"0,72";"0,76";"0,81";"14,91";"14,18";"10,32";"12,48";"12,96";"21,92";"22,24";"16,14";"19,29";"20,18";"0,27";"0,27";"0,19";"0,21";"0,24";"6,24";"6,81";"3,63";"4,16";"5,71";"8,75";"9,60";"5,71";"6,67";"8,16";"0,03";"0,03";".";".";"0,01";"2,29";"2,57";".";".";"0,80";"3,09";"3,76";".";".";"1,29";"0,05";"0,04";"0,02";"0,02";"0,02";"0,49";"0,50";"0,17";"0,21";"0,36";"1,80";"1,69";"0,64";"0,80";"1,29";"0,71";"0,67";"0,56";"0,61";"0,76";"3,89";"3,48";"3,35";"3,41";"3,99";"21,59";"19,73";"18,27";"18,69";"21,95";"0,42";"0,42";"0,57";"0,63";"0,62";"0,96";"1,01";"1,32";"1,59";"1,41";"13,17";"13,39";"18,12";"22,31";"19,89";"0,07";"0,07";"0,06";"0,08";"0,07";"1,72";"1,10";"1,18";"1,48";"1,51";"2,83";"2,37";"2,01";"3,44";"2,53"
"Leeftijd: 75 jaar of ouder";"1,67";"1,63";"1,37";"1,62";"1,80";"17,02";"18,19";"10,85";"14,31";"16,32";"46,87";"48,24";"38,62";"48,37";"52,08";"0,51";"0,54";"0,42";"0,48";"0,52";"8,06";"7,92";"5,22";"6,87";"7,50";"12,98";"13,18";"9,40";"11,90";"13,13";"0,24";"0,21";"0,15";"0,19";"0,23";"4,23";"4,68";"2,01";"3,34";"3,78";"6,68";"7,11";"3,45";"5,61";"6,60";".";"0,02";".";".";".";".";"1,52";".";".";".";".";"2,59";".";".";".";"0,04";"0,03";".";"0,02";"0,02";"0,38";"0,32";".";".";"0,28";"1,46";"1,12";".";"0,64";"0,93";"0,39";"0,36";"0,34";"0,37";"0,47";"2,09";"1,92";"1,95";"2,27";"2,47";"11,96";"11,46";"11,23";"12,30";"14,30";"0,42";"0,40";"0,41";"0,52";"0,51";"0,70";"0,66";"0,80";"1,09";"0,95";"10,76";"10,20";"12,12";"16,47";"14,53";"0,06";"0,06";"0,03";"0,04";"0,05";"0,62";"1,17";".";"0,35";"0,75";"1,77";"2,58";".";"1,14";"1,71"
"Migratieachtergrond: Nederland";"2,90";"2,84";"2,52";"2,66";"2,87";"38,58";"38,40";"26,97";"29,12";"32,55";"76,42";"75,75";"64,62";"71,62";"74,56";"1,04";"1,04";"0,89";"0,90";"0,96";"19,88";"19,86";"14,44";"15,44";"16,77";"26,46";"26,61";"20,11";"21,57";"23,28";"0,34";"0,33";"0,26";"0,27";"0,30";"7,20";"7,14";"4,74";"5,41";"6,01";"9,82";"9,80";"7,06";"8,09";"8,64";"0,07";"0,08";"0,03";"0,03";"0,05";"3,73";"3,93";"1,58";"1,48";"2,33";"5,74";"6,00";"2,39";"2,44";"3,79";"0,05";"0,05";"0,02";"0,02";"0,03";"0,86";"0,84";"0,37";"0,41";"0,62";"2,27";"2,23";"1,01";"1,09";"1,64";"0,84";"0,80";"0,68";"0,69";"0,81";"3,40";"3,22";"2,90";"2,95";"3,33";"17,11";"16,65";"15,68";"15,74";"17,40";"0,44";"0,42";"0,54";"0,63";"0,60";"0,88";"0,86";"1,16";"1,42";"1,22";"10,86";"10,44";"15,24";"18,79";"16,02";"0,12";"0,12";"0,10";"0,11";"0,12";"2,63";"2,54";"1,78";"1,99";"2,28";"4,16";"4,01";"3,14";"3,90";"3,79"
"Migratieachtergrond: westers";"2,57";"2,50";"2,02";"2,24";"2,33";"31,63";"31,42";"20,10";"23,49";"25,64";"72,66";"73,25";"57,53";"66,57";"69,29";"0,80";"0,75";"0,61";"0,67";"0,62";"14,56";"14,17";"9,95";"11,33";"11,32";"20,38";"20,07";"14,97";"16,64";"16,63";"0,29";"0,27";"0,19";"0,23";"0,23";"5,88";"5,72";"3,45";"4,45";"4,34";"8,26";"8,47";"5,40";"7,15";"6,78";"0,09";"0,11";"0,04";"0,04";"0,07";"4,56";"4,82";"1,89";"2,15";"4,13";"7,68";"7,88";"3,41";"3,46";"6,03";"0,11";"0,10";"0,05";"0,04";"0,07";"1,30";"1,21";"0,52";"0,47";"0,79";"4,24";"4,25";"1,79";"1,75";"3,26";"0,74";"0,71";"0,55";"0,56";"0,68";"2,88";"2,82";"2,17";"2,32";"2,67";"16,14";"16,75";"14,17";"14,91";"16,50";"0,47";"0,47";"0,51";"0,62";"0,60";"0,98";"0,97";"1,12";"1,41";"1,24";"13,19";"13,06";"15,81";"20,29";"17,81";"0,08";"0,09";"0,07";"0,07";"0,07";"1,47";"1,70";"1,01";"1,35";"1,14";"2,76";"2,77";"1,99";"2,37";"2,28"
